"id","PCC","AgencyName","GDSGroup","GDS","IATA","TVPNewBusinessExecutive","TVPAccountManagerExecutive","BusinessType","City","UF","Region","MIDT","TSO2013","TSO2014","TSO2015","TSO12Months"
"QNTB221039633757","QNTB22103","1001 TURISMO E VIAGENS ","AMA","AMA","9633757","PROSPECT","PROSPECT","LEISURE","NITEROI","RJ","SUDESTE","593","          -   ","          -   ","          -   ","  "
"IJUB221009634420","IJUB22100","14 BIS VIAGENS E TURISMO ","AMA","AMA","9634420","PROSPECT","PROSPECT","LEISURE","IJUI","RS","SUL","836","          -   ","          -   ","          -   ","  "
"THEB221050000000","THEB22105","1A CLASSE VIAGENS E TURISMO ","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","TERESINA","PI","NORDESTE","501","          -   ","          -   ","          -   ","  "
"RIOB221V39930409","RIOB221V3","2001 TRAVEL AGEN DE VGNS E TUR ","AMA","AMA","9930409","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","364","          -   ","          -   ","          -   ","  "
"QCVB2210C0000000","QCVB2210C","2R VIAGENS E TURISMO .","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","GUARULHOS","SP","SUDESTE","0","          -   ","          -   ","          -   ","  "
"2RT99999999","2RT9","360 VIAGENS E TURISMO","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","SAO PAULO","SP","SUDESTE","0","          -   ","          -   ","          -   ","  "
"RIOB2220S9634079","RIOB2220S","3DNB VIAGENS TURISMO ","AMA","AMA","9634079","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","1.081","          -   ","          -   ","          -   ","  "
"T9JG9999999","T9JG","4 ESTACOES VIAGENS E TURISMO L","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","BELO HORIZONTE","MG","SUDESTE","304","          -   ","          -   ","          -   ","  "
"N1JG9999999","N1JG","4 PONTOS TURISMO ","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","BELO HORIZONTE","MG","SUDESTE","350","          -   ","          -   ","          -   ","  "
"BSBB2215A0000000","BSBB2215A","55 TRAVEL BOUTIQUE","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","BRASILIA","DF","CENTRO-OESTE","0","          -   ","          -   ","          -   ","  "
"5FZ05704282","5FZ0","7 MARES VIAGENS E TURISMO ","TVP","GAL","5704282","WILLIAM","WILLIAM","LEISURE","CURITIBA","PR","SUL","405","        474 ","        386 ","        204 ","     1.080 "
"RIOB221DM0000000","RIOB221DM","7 MARES VIAGENS E TURISMO ","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","12","          -   ","          -   ","          -   ","  "
"GQ0G5750497","GQ0G","9000 VIAGENS E TURISMO LTDA.","SAB","SAB","5750497","PROSPECT","PROSPECT","LEISURE","MARINGA ","PR","SUL","50","          -   ","          -   ","          -   ","  "
"39OZ9634446","39OZ","9TOUR","TVP","GAL","9634446","PROSPECT","PROSPECT","LEISURE","RIO DE JANEIRO","RJ","SUDESTE","0","          -   ","          -   ","          -   ","          -   "
"X2PC9999999","X2PC","A & L HOTEIS, TURISMO E EVENTO","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","GOIANIA","GO","CENTRO-OESTE","0","          -   ","          -   ","          -   ","  "
"BSBB221AP0000000","BSBB221AP","A & T TURISMO","AMA","AMA","0000000","PROSPECT","PROSPECT","LEISURE","BRASILIA","DF","CENTRO-OESTE","1.236","          -   ","          -   ","          -   ","  "
"S2UF9999999","S2UF","A 8 TURISMO, EVENTOS E CONSUTO","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","CRISTALINA","GO","CENTRO-OESTE","334","          -   ","          -   ","          -   ","  "
"4EKG9999999","4EKG","A A VIP TRAVEL - EIRELI - ME","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","GOIANIA","GO","CENTRO-OESTE","43","          -   ","          -   ","          -   ","  "
"L5CF9634064","L5CF","A FERRARI AGENCIA DE VIAGENS L","SAB","SAB","9634064","PROSPECT","PROSPECT","LEISURE","SAO PAULO","SP","SUDESTE","719","          -   ","          -   ","          -   ","  "
"2PFG9999999","2PFG","A GAIA AGENCIA DE VIAGENS E TU","SAB","SAB","9999999","PROSPECT","PROSPECT","LEISURE","CAXIAS DO SUL","RS","SUL","149","          -   ","          -   ","          -   ","  "
"FRCB221015750428","FRCB22101","A INTERNACIONAL DE FRANCA AG. DE VIAGENS","AMA","AMA","5750428","PROSPECT","PROSPECT","LEISURE","FRANCA","SP","SUDESTE","927","          -   ","          -   ","          -   ","  "
